1,2431,40002230401,40002,20230402,1,16810,2024-01-30 23:02:03.620,2024-01-30 23:03:13.123,99,ADGARCIA9J7,3
2,2431,40025230607,40025,20230607,1,4812,2024-01-30 23:02:03.630,2024-01-30 23:03:14.403,3,ADGARCIA9J7,0
3,2431,40072230410,40072,20230410,1,29166,2024-01-30 23:02:03.633,2024-01-30 23:03:15.920,3,ADGARCIA9J7,0
4,2435,40002230401,40002,20230402,1,16810,2024-02-01 17:58:08.790,2024-02-01 17:58:13.140,99,ADGARCIA9J7,3
5,2435,40025230607,40025,20230607,1,4812,2024-02-01 17:58:08.803,2024-02-01 17:58:17.400,3,ADGARCIA9J7,0
6,2435,40072230410,40072,20230410,1,29166,2024-02-01 17:58:08.813,2024-02-01 17:58:20.990,3,ADGARCIA9J7,0
7,2437,40002230401,40002,20230402,1,16810,2024-02-01 18:04:40.740,2024-02-01 18:04:47.843,99,ADGARCIA9J7,3
8,2437,40025230607,40025,20230607,1,4812,2024-02-01 18:04:40.750,2024-02-01 18:04:49.003,3,ADGARCIA9J7,0
9,2437,40072230410,40072,20230410,1,29166,2024-02-01 18:04:40.753,2024-02-01 18:04:51.057,3,ADGARCIA9J7,0
10,2439,40002230401,40002,20230402,1,16810,2024-02-01 18:51:40.713,2024-02-01 18:51:41.500,99,ADGARCIA9J7,3
11,2439,40025230607,40025,20230607,1,4812,2024-02-01 18:51:40.723,2024-02-01 18:51:42.493,3,ADGARCIA9J7,0
12,2439,40072230410,40072,20230410,1,29166,2024-02-01 18:51:40.727,2024-02-01 18:51:44.647,3,ADGARCIA9J7,0
13,2441,40002230401,40002,20230402,1,16810,2024-02-01 18:56:12.467,2024-02-01 18:56:13.173,99,ADGARCIA9J7,3
14,2441,40025230607,40025,20230607,1,4812,2024-02-01 18:56:12.480,2024-02-01 18:56:13.860,3,ADGARCIA9J7,0
15,2441,40072230410,40072,20230410,1,29166,2024-02-01 18:56:12.480,2024-02-01 18:56:17.937,3,ADGARCIA9J7,0
16,2443,40002230401,40002,20230402,1,16810,2024-02-02 10:15:08.843,2024-02-02 10:15:14.647,99,ADGARCIA9J7,3
17,2443,40025230607,40025,20230607,1,4812,2024-02-02 10:15:08.850,2024-02-02 10:15:36.710,3,ADGARCIA9J7,0
18,2443,40072230410,40072,20230410,1,29166,2024-02-02 10:15:08.853,2024-02-02 10:15:55.050,3,ADGARCIA9J7,0
19,2443,40072230411,40072,20230411,1,29167,2024-02-02 10:15:08.860,2024-02-02 10:16:03.100,3,ADGARCIA9J7,0
20,2444,40002230401,40002,20230402,1,16810,2024-02-02 10:45:59.143,2024-02-02 10:46:00.400,99,ADGARCIA9J7,3
21,2444,40025230607,40025,20230607,1,4812,2024-02-02 10:45:59.147,2024-02-02 10:46:02.030,3,ADGARCIA9J7,0
22,2444,40072230410,40072,20230410,1,29166,2024-02-02 10:45:59.147,2024-02-02 10:46:43.510,3,ADGARCIA9J7,0
23,2444,40072230411,40072,20230411,1,29167,2024-02-02 10:45:59.153,2024-02-02 10:47:01.410,3,ADGARCIA9J7,0
24,2445,40002230401,40002,20230402,1,16810,2024-02-02 12:01:51.327,2024-02-02 12:01:52.087,99,ADGARCIA9J7,3
25,2445,40025230607,40025,20230607,1,4812,2024-02-02 12:01:51.340,2024-02-02 12:01:52.823,3,ADGARCIA9J7,0
26,2445,40072230410,40072,20230410,1,29166,2024-02-02 12:01:51.350,2024-02-02 12:01:56.457,3,ADGARCIA9J7,0
27,2445,40072230411,40072,20230411,1,29167,2024-02-02 12:01:51.360,2024-02-02 12:05:17.423,2,ADGARCIA9J7,0
28,2446,37019230413,17019,20230413,1,1591,2024-02-02 15:45:07.790,2024-02-02 15:45:08.513,99,ADGARCIA9J7,4
