26,1,2,04230BAE174438216270,20230401,07:49,16810,3397,1,"4  ",0,99,0,NULL,99,NULL
27,1,2,04230000984438823249,20230607,15:00,4812,712300000010,1,"4  ",0,3,0,NULL,0,D5B62FB0-9A85-40E0-BEE6-00085D44FD5B
28,1,2,04230BXM044438520222,20230410,11:39,29166,368512410023,3,"54 ",0,3,0,NULL,0,NULL
29,1,2,04230BAE174438216270,20230401,07:49,16810,3397,1,"4  ",0,99,0,NULL,99,NULL
30,1,2,04230FEO834438744230,20230531,09:48,14849,16633,3,"4  ",0,99,0,NULL,99,NULL
30,2,3,04230G8U944438741229,20230531,12:15,6201,44349,1,"4  ",0,99,0,NULL,99,NULL
30,3,4,04230H16904438828277,20230531,13:21,3540,58860,3,"4  ",0,99,0,NULL,99,NULL
30,4,5,04230H26134438743266,20230531,19:48,1042,114522,1,"4  ",0,99,0,NULL,99,NULL
30,5,6,04230HDT914439044435,20230531,13:36,1164,62331,1,"4  ",0,99,0,NULL,99,NULL
30,6,7,04230HDX124438740215,20230531,13:06,87722,55608,3,"4  ",0,99,0,NULL,99,NULL
30,7,8,04230HEV994438829269,20230531,14:35,6119,75464,3,"4  ",0,99,0,NULL,99,NULL
30,8,9,04230HFA534438820217,20230531,11:51,5867,39409,1,"4  ",0,99,0,NULL,99,NULL
30,9,10,04230HIM824438826423,20230531,16:15,17314,95770,1,"4  ",0,99,0,NULL,99,NULL
30,10,11,04230HIS924438749254,20230531,11:53,24975,39750,3,"4  ",0,99,0,NULL,99,NULL
30,11,12,04230HJ5734438829223,20230531,12:33,6669,48412,3,"4  ",0,99,0,NULL,99,NULL
30,12,13,04230HJH864438742213,20230531,13:24,329,59618,3,"4  ",0,99,0,NULL,99,NULL
30,13,14,04230HKG014438820479,20230531,15:06,15200,82081,1,"4  ",0,99,0,NULL,99,NULL
30,14,15,04230HKM524438741236,20230531,14:36,4258,75599,3,"4  ",0,99,0,NULL,99,NULL
31,1,2,04230000984438823249,20230607,15:00,4812,712300000010,1,"4  ",0,5,30,44651700000011_00,0,D5B62FB0-9A85-40E0-BEE6-00085D44FD5B
32,1,2,04230BXM044438520222,20230410,11:39,29166,368512410023,3,"54 ",0,4,0,NULL,0,NULL
33,1,2,04230BAE174438216270,20230401,07:49,16810,3397,1,"4  ",0,99,0,NULL,99,NULL
34,1,2,04230000984438823249,20230607,15:00,4812,712300000010,1,"4  ",0,5,30,44651700000011_00,0,D5B62FB0-9A85-40E0-BEE6-00085D44FD5B
35,1,2,04230BXM044438520222,20230410,11:39,29166,368512410023,3,"54 ",0,4,0,NULL,0,NULL
